,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
32,Wattegama,56,LK,1537584490,91,7.35,80.68,74.74,5.61
33,Srednekolymsk,92,RU,1537584490,95,67.46,153.71,36.04,3.38
34,Vaini,88,IN,1537584490,100,15.34,74.49,71.14,3.83
35,Rosarito,75,CO,1537581600,64,4.91,-75.23,75.2,3.36
36,Meulaboh,0,ID,1537584491,100,4.14,96.13,81.4,2.93
37,Hobart,75,AU,1537583400,45,-42.88,147.33,62.6,17.22
38,Ushuaia,75,AR,1537581600,100,-54.81,-68.31,32.0,18.34
39,Torbay,5,CA,1537581600,100,47.66,-52.73,35.6,5.82
40,Saint-Philippe,90,CA,1537582500,88,45.36,-73.48,69.8,17.22
41,Nizwa,0,OM,1537584492,45,22.93,57.53,70.42,2.59
42,Norman Wells,20,CA,1537581600,33,65.28,-126.83,46.4,8.05
43,Marawi,88,PH,1537584493,81,8.0,124.29,75.64,3.49
44,New Norfolk,75,AU,1537583400,45,-42.78,147.06,62.6,17.22
45,Kapaa,20,US,1537581360,81,22.08,-159.32,87.08,11.41
46,Tasiilaq,80,GL,1537581000,100,65.61,-37.64,32.0,16.11
47,Itatinga,0,BR,1537584494,92,-23.1,-48.61,65.65,6.96
48,Yeppoon,40,AU,1537583400,38,-23.13,150.74,77.0,14.99
49,Pitimbu,75,BR,1537581600,88,-7.47,-34.81,73.4,5.82
50,Biak,32,ID,1537584496,77,-0.91,122.88,82.57,7.85
51,Arraial do Cabo,32,BR,1537584430,100,-22.97,-42.02,70.24,7.96
52,Yellowknife,20,CA,1537581600,100,62.45,-114.38,32.0,5.82
53,Kaeo,92,NZ,1537584497,100,-35.1,173.78,54.67,10.98
54,Tuktoyaktuk,75,CA,1537581600,60,69.44,-133.03,42.8,8.05
55,Ambanja,20,MG,1537584497,83,-13.68,48.45,61.6,2.71
56,Port Alfred,0,ZA,1537584413,100,-33.59,26.89,59.98,13.89
57,Thompson,20,CA,1537581600,79,55.74,-97.86,28.4,4.7
58,Ponta do Sol,12,BR,1537584498,91,-20.63,-46.0,58.45,2.71
59,Kralendijk,20,BQ,1537581300,74,12.15,-68.27,84.2,17.22
60,Lebu,12,ET,1537584499,93,8.96,38.73,44.14,4.38
61,Barrow,8,AR,1537584499,47,-38.31,-60.23,52.42,4.38
62,San Cristobal,75,EC,1537581600,76,-0.39,-78.55,51.8,10.29
63,Hambantota,68,LK,1537584500,100,6.12,81.12,77.35,8.75
64,Aksu,90,KZ,1537581600,76,52.04,76.93,51.8,13.42
65,Cape Town,0,ZA,1537581600,76,-33.93,18.42,50.0,5.82
66,Quatre Cocos,75,MU,1537581600,83,-20.21,57.76,71.6,9.17
67,Livramento,0,BR,1537581600,83,-3.03,-60.18,84.2,4.7
68,Gaogou,92,CN,1537584501,90,31.12,117.94,77.62,4.27
69,Carnarvon,0,ZA,1537584502,31,-30.97,22.13,31.27,3.49
70,Flinders,44,AU,1537581600,23,-34.58,150.85,73.4,6.93
71,Bemidji,40,US,1537582500,81,47.48,-94.89,46.94,7.63
72,Escanaba,1,US,1537581360,82,45.75,-87.06,46.04,8.05
73,Port-Gentil,88,GA,1537584503,100,-0.72,8.78,76.27,10.54
74,Naze,92,NG,1537584503,100,5.43,7.07,71.95,1.59
75,Faanui,92,PF,1537584504,100,-16.48,-151.75,77.35,20.83
76,Kinkala,40,CG,1537581600,83,-4.35,14.75,73.4,3.36
77,Baruun-Urt,56,MN,1537584504,70,46.68,113.28,42.79,17.25
78,Hilo,20,US,1537581180,61,19.71,-155.08,84.92,10.29
79,Tondano,20,ID,1537583400,55,1.3,124.91,89.6,4.7
80,Bandarbeyla,0,SO,1537584505,98,9.49,50.81,76.99,23.17
81,Nikolskoye,0,RU,1537581600,82,59.7,30.79,60.8,11.18
82,Halifax,90,CA,1537581600,77,44.65,-63.58,59.0,16.11
83,Khasan,0,RU,1537584506,90,42.43,130.64,67.0,3.83
84,Albany,75,US,1537581240,78,42.65,-73.75,69.98,19.46
85,Bambous Virieux,75,MU,1537581600,83,-20.34,57.76,71.6,9.17
86,Berlevag,44,NO,1537584507,98,70.86,29.09,43.6,7.74
87,Kaitangata,0,NZ,1537584507,76,-46.28,169.85,60.16,2.26
88,Chuy,0,UY,1537584507,83,-33.69,-53.46,63.58,5.95
89,Sungaipenuh,80,ID,1537584508,80,-2.08,101.38,73.3,1.92
90,Inhambane,92,MZ,1537584508,100,-23.87,35.38,72.22,6.06
91,Anloga,20,GH,1537581600,88,5.79,0.9,78.8,10.29
92,Alpena,90,US,1537582500,71,45.06,-83.43,53.6,13.87
93,Pisco,90,PE,1537581600,82,-13.71,-76.2,60.8,10.29
94,Monroe,1,US,1537582680,66,41.91,-83.4,68.0,13.87
95,Georgetown,0,GY,1537581600,94,6.8,-58.16,77.0,4.7
96,Pangnirtung,56,CA,1537584510,92,66.15,-65.72,29.02,4.94
97,Ribeira Grande,64,PT,1537584510,98,38.52,-28.7,74.47,21.5
98,Ugoofaaru,88,MV,1537584511,100,5.67,73.0,81.94,11.99
99,Bagaciu,0,RO,1537583400,93,46.27,24.37,53.6,5.82
100,Dongsheng,92,CN,1537584511,72,29.72,112.52,76.54,7.96
101,Punta Arenas,20,CL,1537581600,69,-53.16,-70.91,35.6,10.29
102,Melipilla,90,CL,1537581600,100,-33.69,-71.21,60.8,2.24
103,Road Town,1,VG,1537581180,74,18.42,-64.62,82.94,9.17
104,Alofi,75,NU,1537581600,74,-19.06,-169.92,80.6,11.41
105,Bolshaya Rechka,0,RU,1537581600,81,51.95,104.74,42.8,2.24
106,Eyl,0,SO,1537584513,84,7.98,49.82,76.72,22.84
107,Coahuayana,48,MX,1537584513,92,18.62,-100.35,68.35,2.15
108,Pacific Grove,1,US,1537583700,82,36.62,-121.92,60.98,12.75
109,Christchurch,0,NZ,1537583400,58,-43.53,172.64,57.2,16.11
110,Skala,0,GR,1537582800,87,36.85,22.66,60.8,3.36
111,Villa Bruzual,68,VE,1537584514,92,9.33,-69.12,74.38,2.59
112,Port Lincoln,0,AU,1537584410,82,-34.72,135.86,64.48,3.04
113,Sindor,92,RU,1537584515,96,62.87,51.9,48.64,3.38
114,Jizan,40,SA,1537581600,70,16.89,42.56,89.6,3.36
115,Severo-Kurilsk,24,RU,1537584307,93,50.68,156.12,51.16,15.79
116,Ahipara,92,NZ,1537584515,100,-35.17,173.16,56.47,14.67
117,Rio Gallegos,0,AR,1537581600,74,-51.62,-69.22,33.8,8.05
118,Rodrigues Alves,0,BR,1537581600,83,-7.74,-72.65,77.0,8.05
119,Cabo San Lucas,20,MX,1537580520,74,22.89,-109.91,82.4,11.77
120,Borgo San Dalmazzo,12,IT,1537584517,91,44.33,7.49,43.96,1.92
121,Tommot,0,RU,1537584517,69,58.97,126.27,46.75,3.49
122,Tessalit,0,ML,1537584517,32,20.2,1.01,73.12,7.18
123,Kyabe,12,TD,1537584517,85,9.45,18.94,73.66,2.71
124,Paragominas,12,BR,1537584518,92,-3.0,-47.35,73.84,4.05
125,Diu,24,IN,1537584518,75,20.71,70.98,79.69,10.2
126,Evensk,48,RU,1537584518,94,61.92,159.24,50.44,2.15
127,Talnakh,12,RU,1537584518,92,69.49,88.39,43.87,11.21
128,The Pas,90,CA,1537581600,48,53.82,-101.24,39.2,9.17
129,Clyde River,90,CA,1537583880,100,70.47,-68.59,28.4,8.05
130,Avarua,40,CK,1537581600,64,-21.21,-159.78,75.2,13.87
131,Bowen,90,AU,1537581600,53,-20.01,148.25,73.4,20.8
132,Constitucion,40,MX,1537580580,56,23.99,-104.67,69.8,6.93
133,Sao Filipe,0,CV,1537584520,95,14.9,-24.5,78.52,15.9
134,Khatanga,44,RU,1537584520,98,71.98,102.47,40.18,11.99
135,Lata,92,IN,1537584521,100,30.78,78.62,51.34,1.92
136,Mandalgovi,0,MN,1537584521,62,45.76,106.27,46.57,8.97
137,Alice Springs,0,AU,1537583400,23,-23.7,133.88,73.4,13.87
138,Matara,64,PE,1537584521,87,-13.74,-72.9,41.35,0.92
139,Longyearbyen,75,NO,1537581000,63,78.22,15.63,28.4,11.41
140,Clonakilty,75,IE,1537583400,87,51.62,-8.87,48.2,3.36
141,Chalons-en-Champagne,0,FR,1537583400,87,48.95,4.37,48.2,5.82
142,Khandyga,0,RU,1537584523,56,62.65,135.58,44.14,4.5
143,Sal Rei,20,CV,1537581600,83,16.18,-22.92,80.6,13.87
144,Saint-Augustin,0,FR,1537583400,93,44.83,-0.61,53.6,3.71
145,Souillac,0,FR,1537583400,93,45.6,-0.6,51.8,2.82
146,Dunedin,0,NZ,1537584404,70,-45.87,170.5,61.78,2.26
147,Swift Current,90,CA,1537581600,93,50.29,-107.8,48.2,12.75
148,Katherine,0,AU,1537583400,13,-14.47,132.26,93.2,13.87
149,Hithadhoo,64,MV,1537584525,100,-0.6,73.08,81.04,8.52
150,Tiksi,92,RU,1537584525,96,71.64,128.87,35.95,10.65
151,Katobu,0,ID,1537584525,76,-4.94,122.53,86.35,4.72
152,Acapulco,75,MX,1537581060,70,16.86,-99.88,84.2,5.82
153,La Union,44,GT,1537584526,86,14.97,-89.29,72.85,2.15
154,Kambove,32,CD,1537584526,54,-10.88,26.6,65.2,10.09
155,Sur,32,OM,1537584527,100,22.57,59.53,79.87,2.15
156,Kodiak,1,US,1537581180,86,39.95,-94.76,55.94,3.36
157,Gore,76,ET,1537584527,97,8.15,35.53,58.54,2.71
158,East London,8,ZA,1537584527,100,-33.02,27.91,62.68,16.35
159,Sitka,0,US,1537584528,61,37.17,-99.65,57.64,8.75
160,Cabedelo,75,BR,1537581600,88,-6.97,-34.84,73.4,5.82
161,Neuquen,0,AR,1537581600,37,-38.95,-68.06,66.2,5.82
162,Kloulklubed,90,PW,1537581000,88,7.04,134.26,78.8,6.93
163,Eureka,1,US,1537583700,93,40.8,-124.16,55.94,3.36
164,Krasnyy Luch,0,RU,1537584529,89,55.97,38.97,53.59,9.64
165,Cidreira,0,BR,1537584529,94,-30.17,-50.22,64.3,5.84
166,College,75,US,1537581360,77,64.86,-147.8,54.32,4.7
167,Laguna,20,MX,1537581240,70,27.52,-110.01,84.2,5.82
168,Champerico,40,MX,1537580820,83,16.38,-93.6,77.0,3.36
169,Bethel,90,US,1537583880,100,60.79,-161.76,51.8,16.11
170,Chegdomyn,92,RU,1537584531,69,51.13,133.04,52.69,4.38
171,Parati,0,BR,1537581600,78,-20.51,-54.63,73.4,6.93
172,Joshimath,92,IN,1537584532,100,30.57,79.57,34.78,0.36
173,Cherskiy,88,RU,1537584243,89,68.75,161.3,38.2,2.82
174,Sola,0,FI,1537582800,87,62.78,29.36,60.8,9.17
175,Namibe,44,AO,1537584533,100,-15.19,12.15,66.1,5.84
176,Santa Lucia,0,IT,1537584534,98,39.93,9.66,61.6,2.93
177,Kavaratti,32,IN,1537584534,100,10.57,72.64,80.14,11.1
178,Sistranda,75,NO,1537581000,87,63.73,8.83,48.2,44.96
179,Naantali,100,FI,1537582800,71,60.45,22.03,55.4,13.87
180,Orebro,92,SE,1537582800,87,59.27,15.21,51.8,24.16
181,Cap-aux-Meules,90,CA,1537582320,62,47.38,-61.86,57.2,26.4
182,Chicama,75,PE,1537581600,88,-7.84,-79.15,62.6,8.05
183,Saint-Francois,90,FR,1537583400,93,46.42,3.91,46.4,3.38
184,Grand Gaube,75,MU,1537581600,83,-20.01,57.66,71.6,9.17
185,Zvishavane,0,ZW,1537584537,87,-20.32,30.05,58.54,3.94
186,Manali,88,IN,1537584537,82,32.25,77.19,29.02,0.47
187,Labuhan,8,ID,1537584538,60,-2.54,115.51,88.06,4.16
188,Sainte-Rose,40,CA,1537581600,88,45.61,-73.79,69.8,23.04
189,Upington,0,ZA,1537581600,13,-28.46,21.24,59.0,3.36
190,Coromandel,36,NZ,1537583400,77,-36.76,175.5,60.8,5.82
191,Muros,75,ES,1537583400,100,42.77,-9.06,60.8,1.12
192,Kalabo,92,ZM,1537584539,31,-15.0,22.67,73.21,9.08
193,Posse,88,BR,1537584539,43,-14.08,-46.36,79.06,5.95
194,Chernyshkovskiy,0,RU,1537584540,91,48.42,42.23,51.97,5.39
195,Mogocha,48,RU,1537584540,59,53.73,119.76,47.47,11.1
196,Thunder Bay,20,CA,1537581600,100,48.41,-89.26,41.0,5.82
197,Carballo,0,ES,1537583400,100,43.21,-8.69,60.8,2.24
198,Airai,0,TL,1537584541,28,-8.93,125.41,87.25,1.92
199,Port Hardy,75,CA,1537581600,93,50.7,-127.42,53.6,4.7
200,Hirtshals,68,DK,1537584542,93,57.59,9.96,54.85,35.48
201,Moyale,88,ET,1537584542,97,3.52,39.05,64.57,7.74
202,Muroto,75,JP,1537581600,54,33.37,134.14,84.2,14.99
203,Beringovskiy,92,RU,1537584543,99,63.05,179.32,46.75,18.48
204,Upernavik,32,GL,1537584543,100,72.79,-56.15,29.2,3.94
205,Mount Isa,0,AU,1537583400,11,-20.73,139.49,89.6,12.75
206,Uvat,92,RU,1537584543,97,59.14,68.9,50.62,2.82
207,Tirano,0,IT,1537582800,93,46.22,10.17,46.4,3.36
208,Biltine,100,TD,1537584544,27,14.53,20.93,89.77,10.09
209,Yerbogachen,12,RU,1537584544,73,61.28,108.01,48.28,3.83
210,Prainha,12,BR,1537584545,71,-1.8,-53.48,82.21,4.94
211,Morondava,88,MG,1537584545,100,-20.3,44.28,70.24,3.04
212,Castro,92,CL,1537584545,99,-42.48,-73.76,47.47,10.98
213,Mahajanga,0,MG,1537581600,73,-15.72,46.32,73.4,4.7
214,San Pedro,0,AR,1537584547,81,-33.68,-59.66,64.84,8.75
215,Portland,90,US,1537581180,47,45.52,-122.67,71.96,8.05
216,Cap Malheureux,75,MU,1537581600,83,-19.98,57.61,71.6,9.17
217,Marzuq,0,YE,1537584548,78,14.4,46.47,50.89,2.59
218,Mamontovo,88,RU,1537584548,77,52.71,81.63,55.48,8.52
219,Gornopravdinsk,88,RU,1537584549,95,60.06,69.92,50.62,3.6
220,Chinsali,0,ZM,1537584549,53,-10.55,32.07,61.78,10.87
221,Lompoc,1,US,1537583700,77,34.64,-120.46,64.94,6.93
222,Los Llanos de Aridane,20,ES,1537583400,64,28.66,-17.92,73.4,12.75
223,La Ligua,90,CL,1537581600,93,-32.45,-71.23,51.8,5.82
224,Conceicao do Araguaia,0,BR,1537584550,72,-8.26,-49.26,75.64,6.62
225,Ternate,40,PH,1537581600,79,14.29,120.72,86.0,4.7
226,Dire Dawa,0,ET,1537584551,77,9.59,41.86,52.96,2.93
227,Provideniya,88,RU,1537584551,99,64.42,-173.23,44.68,27.54
228,Puerto Asis,20,CO,1537584551,91,0.51,-76.5,72.85,2.15
229,Qaqortoq,56,GL,1537581000,99,60.72,-46.03,35.6,9.17
230,Sao Jose da Coroa Grande,80,BR,1537584552,86,-8.9,-35.15,74.92,4.94
231,Umm Lajj,36,SA,1537584552,99,25.02,37.27,79.24,3.38
232,Esperance,20,TT,1537581600,94,10.24,-61.45,77.0,3.36
233,Pankrushikha,0,RU,1537584553,64,53.83,80.35,54.94,9.64
234,Bocas del Toro,92,PA,1537584553,100,9.33,-82.25,81.49,11.65
235,Nelson Bay,24,AU,1537583400,40,-32.72,152.14,71.6,5.82
236,Yaqui,20,MX,1537581240,70,27.37,-110.17,84.2,5.82
237,Ilulissat,12,GL,1537581000,49,69.22,-51.1,26.6,14.99
238,Nome,1,US,1537582500,89,30.04,-94.42,80.06,4.7
239,Omboue,92,GA,1537584555,100,-1.57,9.26,76.72,10.65
240,Port Macquarie,8,AU,1537581600,56,-31.43,152.91,69.8,11.41
241,Beloha,24,MG,1537584555,93,-25.17,45.06,63.94,5.5
242,Vicente Guerrero,90,MX,1537580640,49,16.93,-96.7,73.4,5.82
243,Padang,20,ID,1537584556,100,-0.92,100.36,83.47,0.25
244,Mitsamiouli,20,KM,1537584556,100,-11.38,43.28,75.01,7.18
245,Leningradskiy,64,RU,1537584557,92,69.38,178.42,43.42,7.85
246,Bam,0,IR,1537584557,49,29.11,58.36,61.78,4.27
247,Talavera,40,PH,1537581600,70,15.58,120.92,86.0,4.7
248,Oxapampa,0,PE,1537584557,98,-10.58,-75.4,47.02,2.15
249,Gladstone,12,AU,1537584558,56,-23.84,151.26,74.38,14.67
250,Garowe,0,SO,1537584558,48,8.41,48.48,78.88,11.54
251,Sovetskiy,88,RU,1537584558,94,56.76,48.47,54.58,9.19
252,Fairbanks,75,US,1537581360,77,64.84,-147.72,54.32,4.7
253,Kamenka,0,RU,1537584559,81,53.19,44.05,47.38,2.82
254,Ambilobe,36,MG,1537584559,80,-13.19,49.05,69.88,9.98
255,Bagotville,8,AU,1537584560,94,-28.98,153.42,68.53,8.08
256,Tlacotepec,75,MX,1537580760,67,18.96,-99.93,60.8,3.36
257,Isangel,48,VU,1537584560,100,-19.55,169.27,72.22,14.23
258,Sao Joao da Barra,92,BR,1537584561,100,-21.64,-41.05,70.6,3.04
259,Broome,32,GB,1537582800,87,52.47,1.45,48.92,8.05
260,Simpang Empat,75,MY,1537581600,83,6.02,100.38,82.4,3.36
261,Iqaluit,75,CA,1537581600,74,63.75,-68.52,28.4,9.17
262,Saint George,0,GR,1537581000,67,39.45,22.34,62.6,8.05
263,Palauig,36,PH,1537584562,97,15.44,119.9,81.67,1.36
264,Kongolo,92,CD,1537584562,67,-5.39,27.0,74.11,2.15
265,Nanzhang,92,CN,1537584563,52,31.78,111.84,69.43,2.15
266,Dzaoudzi,0,YT,1537581600,88,-12.79,45.27,73.4,2.24
267,Maracai,8,BR,1537584563,85,-22.61,-50.67,67.18,3.71
268,Pochutla,90,MX,1537580700,69,15.74,-96.47,77.0,6.93
269,Coquimbo,20,CL,1537581600,93,-29.95,-71.34,53.6,2.24
270,Isla Vista,1,US,1537583700,77,34.41,-119.86,66.92,6.93
271,Sabha,0,LY,1537584564,39,27.03,14.43,69.07,10.42
272,Ballaghaderreen,68,IE,1537584459,86,53.9,-8.58,45.04,8.75
273,Krasnaya Gora,0,RU,1537581600,87,53.01,31.6,57.2,6.71
274,Kirakira,68,SB,1537584565,100,-10.46,161.92,79.96,9.86
275,Port Elizabeth,1,US,1537581300,81,39.31,-74.98,73.94,3.36
276,Rio Grande,0,BR,1537584494,91,-32.03,-52.1,62.14,5.28
277,Salinopolis,8,BR,1537584566,97,-0.61,-47.36,80.5,17.02
278,Vostok,92,RU,1537584566,73,46.45,135.83,59.62,3.6
279,Tiznit,0,MA,1537584566,91,29.7,-9.73,69.25,3.71
280,Alyangula,0,AU,1537584567,79,-13.85,136.42,83.47,15.23
281,Bonavista,12,CA,1537584567,100,48.65,-53.11,47.74,16.24
282,Nova Odesa,0,UA,1537584568,77,47.3,31.79,54.13,1.48
283,Buala,44,SB,1537584568,82,-8.15,159.59,85.18,8.41
284,Amapa,75,HN,1537581600,94,15.09,-87.97,75.2,5.82
285,Tucupita,76,VE,1537584568,83,9.06,-62.05,79.87,5.73
286,Namatanai,0,PG,1537584569,94,-3.66,152.44,85.45,6.17
287,Beira,0,ES,1537583400,100,43.2,-8.36,60.8,2.24
288,Camaguey,75,CU,1537581000,88,21.38,-77.92,78.8,2.24
289,Lorengau,24,PG,1537584570,96,-2.02,147.27,85.0,7.96
290,Antofagasta,90,CL,1537581600,72,-23.65,-70.4,60.8,4.7
291,Calbuco,40,CL,1537581600,100,-41.77,-73.13,48.2,10.29
292,Weligama,92,LK,1537584570,100,5.97,80.42,76.0,3.27
293,Katav-Ivanovsk,92,RU,1537584571,99,54.75,58.21,43.78,3.94
294,Katangli,0,RU,1537584571,77,51.71,143.23,55.48,2.59
295,Ahuimanu,90,US,1537581420,74,21.44,-157.84,87.08,8.05
296,Saint Marys,90,US,1537583220,93,41.43,-78.56,73.04,12.75
297,Fukuma,40,JP,1537581600,65,33.77,130.47,80.6,8.05
298,Kibala,20,TD,1537581600,94,9.11,18.35,75.2,3.15
299,Tual,48,ID,1537584572,98,-5.67,132.75,81.4,10.31
300,Atar,0,MR,1537584573,43,20.52,-13.05,82.75,7.63
301,Vershino-Shakhtaminskiy,92,RU,1537584573,98,51.3,117.89,41.35,12.44
302,Pevek,0,RU,1537584573,94,69.7,170.27,46.57,2.59
303,Ozinki,0,RU,1537584574,82,51.2,49.73,44.95,2.82
304,Newcastleton,88,GB,1537581000,87,55.18,-2.81,42.8,13.87
305,Vila Velha,20,BR,1537581600,83,-3.71,-38.6,78.8,13.87
306,Dingle,76,PH,1537584574,92,11.0,122.67,81.31,2.93
307,Thayetmyo,24,MM,1537584527,95,19.32,95.18,82.39,4.5
308,Mahebourg,75,MU,1537581600,83,-20.41,57.7,71.6,9.17
309,Sarahan,92,IN,1537584575,98,31.51,77.79,32.17,0.81
310,Atambua,0,ID,1537584576,68,-9.11,124.89,86.8,3.38
311,Sinnamary,8,GF,1537584576,95,5.38,-52.96,81.4,13.44
312,Jacareacanga,36,BR,1537584576,89,-6.22,-57.76,77.53,2.59
313,Orlik,0,RU,1537584576,73,52.51,99.83,35.41,2.37
314,Kurikka,92,FI,1537582800,77,62.62,22.4,60.8,10.29
315,Narsaq,76,GL,1537581000,88,60.91,-46.05,35.6,9.17
316,Copiapo,0,CL,1537581600,81,-27.37,-70.33,53.6,2.24
317,Chokurdakh,88,RU,1537584577,100,70.62,147.9,38.38,4.38
318,Cabo Rojo,20,PR,1537584578,100,18.09,-67.15,79.24,11.43
319,Houma,68,CN,1537584578,43,35.63,111.36,68.44,3.27
320,Nanortalik,36,GL,1537584578,100,60.14,-45.24,35.14,6.4
321,Khani,36,GE,1537581600,100,41.96,42.96,60.8,2.24
322,Nuuk,68,GL,1537581000,86,64.17,-51.74,33.8,4.7
323,Jiexiu,0,CN,1537584579,70,37.02,111.92,60.16,3.83
324,Gizo,20,IL,1537582800,78,31.8,34.94,73.4,4.7
325,Kinablangan,56,PH,1537584580,100,7.69,126.55,83.2,4.16
326,Mujiayingzi,12,CN,1537584580,33,42.12,118.78,57.91,10.42
327,Garden City,90,US,1537582500,81,40.73,-73.63,73.94,14.99
328,Teya,75,MX,1537580820,74,21.05,-89.07,78.8,9.17
329,Grindavik,75,IS,1537581600,100,63.84,-22.43,37.4,13.87
330,San Jose,12,PH,1537584582,82,15.79,120.99,83.92,2.26
331,Lampazos de Naranjo,32,MX,1537584582,74,27.02,-100.51,77.08,2.59
332,Mashhad,0,IR,1537581600,58,36.3,59.61,55.4,4.7
333,Buin,0,CL,1537581600,44,-33.73,-70.74,60.8,9.17
334,Zhezkazgan,90,KZ,1537581600,75,47.8,67.71,44.6,6.71
335,San Policarpo,92,PH,1537584584,100,12.18,125.51,80.5,8.41
336,El Dorado,80,VE,1537584584,88,6.71,-61.64,76.36,2.26
337,Utete,100,TZ,1537584584,98,-7.99,38.76,70.24,2.15
338,Forssa,0,FI,1537582800,67,60.82,23.63,60.8,13.87
339,Santa Rosalia,40,IT,1537582800,69,38.07,13.27,77.0,4.7
340,Narrabri,32,AU,1537584585,38,-30.33,149.78,72.76,7.74
341,Cayenne,0,GF,1537581600,94,4.94,-52.33,78.8,2.24
342,Kelamangalam,20,IN,1537583400,77,12.61,77.86,69.8,9.17
343,Bubaque,48,GW,1537584586,100,11.28,-15.83,80.05,16.8
344,Ishigaki,40,JP,1537581600,84,24.34,124.16,86.0,6.93
345,Roald,92,NO,1537582800,81,62.58,6.12,50.0,12.75
346,Vilyuysk,92,RU,1537584587,59,63.75,121.63,46.3,9.19
347,Caravelas,76,BR,1537584587,100,-17.73,-39.27,76.09,15.68
348,Cape Coast,76,GH,1537584588,94,5.11,-1.24,74.11,4.27
349,Saint-Joseph,0,FR,1537583400,88,43.56,6.97,75.2,3.36
350,Lavrentiya,12,RU,1537584588,93,65.58,-170.99,45.58,24.52
351,Half Moon Bay,90,US,1537583700,93,37.46,-122.43,78.08,6.93
352,Markova,0,RU,1537581600,81,52.21,104.21,42.8,2.24
353,Osakarovka,88,KZ,1537584589,72,50.56,72.58,49.0,18.25
354,Yilan,40,TW,1537581600,55,24.75,121.75,91.4,6.93
355,Muskegon,75,US,1537582500,58,43.23,-86.25,60.98,13.87
356,Ancud,92,CL,1537584590,97,-41.87,-73.83,48.55,12.88
357,Fort Nelson,5,CA,1537581600,45,58.81,-122.69,44.6,3.94
358,Hongjiang,88,CN,1537584591,76,27.21,109.83,74.74,4.72
359,Teknaf,48,BD,1537584591,92,20.86,92.31,81.22,3.38
360,Hay River,5,CA,1537581600,43,60.82,-115.79,35.6,6.93
361,Bambanglipuro,8,ID,1537584591,69,-7.95,110.28,85.72,4.38
362,Chirongui,0,YT,1537581600,88,-12.93,45.15,73.4,2.24
363,Dubbo,48,AU,1537583400,25,-32.25,148.6,73.4,8.05
364,Przeworsk,0,PL,1537583400,67,50.06,22.49,62.6,4.7
365,Kavieng,20,PG,1537584593,100,-2.57,150.8,86.08,4.05
366,Vardo,1,US,1537582500,84,39.62,-77.74,73.94,6.93
367,Paita,12,PE,1537584593,83,-5.09,-81.11,67.0,5.39
368,Yeniseysk,0,RU,1537584373,74,58.45,92.17,49.0,6.17
369,Ostrovnoy,80,RU,1537584593,85,68.05,39.51,44.5,14.45
370,Bose,12,IT,1537582800,88,45.46,8.01,66.2,2.24
371,Datong,0,CN,1537584594,34,40.09,113.3,53.77,13.67
372,Guerrero Negro,0,MX,1537584594,73,27.97,-114.04,71.68,10.42
